Cycle,Date administered,Democratic candidate,Republican candidate,Libertarian,Green,Undecided,,,
2012,10/7/2012,0.46,0.44,NaN,NaN,NaN,,,
2012,10/7/2012,0.45,0.46,NaN,NaN,NaN,,,
2012,10/7/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/7/2012,0.44,0.47,NaN,NaN,NaN,,,
2012,10/9/2012,0.46,0.5,NaN,NaN,NaN,,,
2012,10/10/2012,0.47,0.47,NaN,NaN,NaN,,,
2012,10/10/2012,0.49,0.46,NaN,NaN,NaN,,,
2012,10/10/2012,0.5,0.43,NaN,NaN,NaN,,,
2012,10/10/2012,0.47,0.45,NaN,NaN,NaN,,,
2012,10/11/2012,0.48,0.45,NaN,NaN,NaN,,,
2012,10/13/2012,0.47,0.49,NaN,NaN,NaN,,,
2012,10/14/2012,0.45,0.52,NaN,NaN,NaN,,,
2012,10/14/2012,0.46,0.49,NaN,NaN,NaN,,,
2012,10/15/2012,0.47,0.49,NaN,NaN,NaN,,,
2012,10/15/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/17/2012,0.49,0.47,NaN,NaN,NaN,,,
2012,10/17/2012,0.48,0.46,NaN,NaN,NaN,,,
2012,10/17/2012,0.47,0.47,NaN,NaN,NaN,,,
2012,10/17/2012,0.49,0.44,NaN,NaN,NaN,,,
2012,10/17/2012,0.47,0.45,NaN,NaN,NaN,,,
2012,10/18/2012,0.5,0.47,NaN,NaN,NaN,,,
2012,10/18/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/18/2012,0.45,0.48,NaN,NaN,NaN,,,
2012,10/19/2012,0.48,0.4,NaN,NaN,NaN,,,
2012,10/19/2012,0.45,0.44,NaN,NaN,NaN,,,
2012,10/19/2012,0.45,0.47,NaN,NaN,NaN,,,
2012,10/20/2012,0.46,0.5,NaN,NaN,NaN,,,
2012,10/21/2012,0.47,0.5,NaN,NaN,NaN,,,
2012,10/22/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/22/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/22/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/22/2012,0.45,0.44,NaN,NaN,NaN,,,
2012,10/22/2012,0.48,0.48,NaN,NaN,NaN,,,
2012,10/22/2012,0.46,0.51,NaN,NaN,NaN,,,
2012,10/22/2012,0.46,0.43,NaN,NaN,NaN,,,
2012,10/23/2012,0.47,0.48,NaN,NaN,NaN,,,
2012,10/24/2012,0.51,0.39,NaN,NaN,NaN,,,
2012,10/24/2012,0.49,0.46,NaN,NaN,NaN,,,
2012,10/24/2012,0.47,0.45,NaN,NaN,NaN,,,
2012,10/24/2012,0.47,0.47,NaN,NaN,NaN,,,
2012,10/25/2012,0.49,0.49,NaN,NaN,NaN,,,
2012,10/25/2012,0.48,0.47,NaN,NaN,NaN,,,
2012,10/25/2012,0.49,0.49,NaN,NaN,NaN,,,
2012,10/25/2012,0.5,0.45,NaN,NaN,NaN,,,
2012,10/26/2012,0.48,0.46,NaN,NaN,NaN,,,
2012,10/26/2012,0.48,0.47,NaN,NaN,NaN,,,
2012,10/27/2012,0.47,0.49,NaN,NaN,NaN,,,
2012,10/28/2012,0.46,0.45,NaN,NaN,NaN,,,
2012,10/28/2012,0.46,0.46,NaN,NaN,NaN,,,
2012,10/28/2012,0.45,0.48,NaN,NaN,NaN,,,
2012,10/28/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/29/2012,0.49,0.49,NaN,NaN,NaN,,,
2012,10/29/2012,0.48,0.49,NaN,NaN,NaN,,,
2012,10/30/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/31/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/31/2012,0.49,0.42,NaN,NaN,NaN,,,
2012,10/31/2012,0.48,0.45,NaN,NaN,NaN,,,
2012,10/31/2012,0.49,0.47,NaN,NaN,NaN,,,
2012,10/31/2012,0.48,0.42,NaN,NaN,NaN,,,
2012,10/31/2012,0.48,0.47,NaN,NaN,NaN,,,
2012,9/6/2012,0.45,0.41,NaN,NaN,NaN,,,
2012,9/6/2012,0.48,0.43,NaN,NaN,NaN,,,
2012,9/6/2012,0.5,0.44,NaN,NaN,NaN,,,
2012,9/7/2012,0.5,0.44,NaN,NaN,NaN,,,
2012,9/7/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,9/7/2012,0.53,0.45,NaN,NaN,NaN,,,
2012,9/7/2012,0.52,0.46,NaN,NaN,NaN,,,
2012,9/7/2012,0.5,0.44,NaN,NaN,NaN,,,
2012,9/7/2012,0.52,0.41,NaN,NaN,NaN,,,
2012,9/7/2012,0.5,0.46,NaN,NaN,NaN,,,
2012,9/8/2012,0.49,0.45,NaN,NaN,NaN,,,
2012,9/8/2012,0.46,0.45,NaN,NaN,NaN,,,
2012,9/8/2012,0.51,0.43,NaN,NaN,NaN,,,
2012,9/8/2012,0.49,0.46,NaN,NaN,NaN,,,
2012,9/8/2012,0.5,0.45,NaN,NaN,NaN,,,
2012,9/8/2012,0.49,0.45,NaN,NaN,NaN,,,
2012,9/9/2012,0.46,0.42,NaN,NaN,NaN,,,
2012,9/9/2012,0.48,0.43,NaN,NaN,NaN,,,
2012,9/11/2012,0.48,0.42,NaN,NaN,NaN,,,
2012,9/11/2012,0.46,0.43,NaN,NaN,NaN,,,
2012,9/12/2012,0.5,0.44,NaN,NaN,NaN,,,
2012,9/12/2012,0.5,0.45,NaN,NaN,NaN,,,
2012,9/12/2012,0.51,0.42,NaN,NaN,NaN,,,
2012,9/12/2012,0.51,0.43,NaN,NaN,NaN,,,
2012,9/12/2012,0.46,0.41,NaN,NaN,NaN,,,
2012,9/12/2012,0.48,0.43,NaN,NaN,NaN,,,
2012,9/13/2012,0.48,0.41,NaN,NaN,NaN,,,
2012,9/13/2012,0.48,0.45,NaN,NaN,NaN,,,
2012,9/13/2012,0.52,0.37,NaN,NaN,NaN,,,
2012,9/13/2012,0.5,0.4,NaN,NaN,NaN,,,
2012,9/13/2012,0.47,0.46,NaN,NaN,NaN,,,
2012,9/13/2012,0.52,0.45,NaN,NaN,NaN,,,
2012,9/15/2012,0.5,0.43,NaN,NaN,NaN,,,
2012,9/16/2012,0.5,0.46,NaN,NaN,NaN,,,
2012,9/19/2012,0.48,0.46,NaN,NaN,NaN,,,
2012,9/19/2012,0.5,0.44,NaN,NaN,NaN,,,
2012,9/20/2012,0.5,0.45,NaN,NaN,NaN,,,
2012,9/20/2012,0.49,0.43,NaN,NaN,NaN,,,
2012,9/21/2012,0.49,0.41,NaN,NaN,NaN,,,
2012,9/21/2012,0.49,0.43,NaN,NaN,NaN,,,
2012,9/23/2012,0.46,0.46,NaN,NaN,NaN,,,
2012,9/24/2012,0.5,0.47,NaN,NaN,NaN,,,
2012,9/25/2012,0.49,0.45,NaN,NaN,NaN,,,
2012,9/26/2012,0.49,0.44,NaN,NaN,NaN,,,
2012,9/26/2012,0.49,0.47,NaN,NaN,NaN,,,
2012,9/26/2012,0.49,0.41,NaN,NaN,NaN,,,
2012,9/26/2012,0.48,0.43,NaN,NaN,NaN,,,
2012,9/26/2012,0.51,0.44,NaN,NaN,NaN,,,
2012,9/26/2012,0.49,0.46,NaN,NaN,NaN,,,
2012,9/27/2012,0.49,0.45,NaN,NaN,NaN,,,
2012,9/28/2012,0.5,0.46,NaN,NaN,NaN,,,
2012,9/28/2012,0.5,0.47,NaN,NaN,NaN,,,
2012,9/28/2012,0.47,0.44,NaN,NaN,NaN,,,
2012,9/28/2012,0.47,0.43,NaN,NaN,NaN,,,
2012,9/7/2012,0.5,0.41,NaN,NaN,NaN,,,
2012,9/7/2012,0.51,0.43,NaN,NaN,NaN,,,
2016,11/1/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,11/4/2016,0.49,0.45,NaN,NaN,NaN,,,
2016,11/4/2016,0.46,0.43,NaN,NaN,NaN,,,
2016,11/3/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,11/3/2016,0.48,0.44,NaN,NaN,NaN,,,
2016,11/3/2016,0.43,0.42,NaN,NaN,NaN,,,
2016,11/3/2016,0.5,0.44,NaN,NaN,NaN,,,
2016,11/2/2016,0.44,0.39,NaN,NaN,NaN,,,
2016,11/2/2016,0.47,0.43,NaN,NaN,NaN,,,
2016,10/31/2016,0.51,0.44,NaN,NaN,NaN,,,
2016,10/4/2016,0.43,0.39,NaN,NaN,NaN,,,
2016,11/3/2016,0.48,0.43,NaN,NaN,NaN,,,
2016,11/2/2016,0.49,0.45,NaN,NaN,NaN,,,
2016,11/2/2016,0.45,0.44,NaN,NaN,NaN,,,
2016,10/30/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,10/30/2016,0.43,0.48,NaN,NaN,NaN,,,
2016,11/1/2016,0.49,0.44,NaN,NaN,NaN,,,
2016,11/1/2016,0.46,0.43,NaN,NaN,NaN,,,
2016,10/31/2016,0.44,0.4,NaN,NaN,NaN,,,
2016,10/29/2016,0.49,0.48,NaN,NaN,NaN,,,
2016,10/29/2016,0.43,0.48,NaN,NaN,NaN,,,
2016,11/1/2016,0.46,0.45,NaN,NaN,NaN,,,
2016,11/1/2016,0.46,0.44,NaN,NaN,NaN,,,
2016,10/30/2016,0.44,0.39,NaN,NaN,NaN,,,
2016,10/31/2016,0.49,0.45,NaN,NaN,NaN,,,
2016,10/30/2016,0.45,0.44,NaN,NaN,NaN,,,
2016,10/28/2016,0.49,0.48,NaN,NaN,NaN,,,
2016,10/30/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,10/29/2016,0.45,0.39,NaN,NaN,NaN,,,
2016,10/29/2016,0.44,0.44,NaN,NaN,NaN,,,
2016,10/27/2016,0.49,0.48,NaN,NaN,NaN,,,
2016,10/29/2016,0.49,0.47,NaN,NaN,NaN,,,
2016,10/28/2016,0.47,0.44,NaN,NaN,NaN,,,
2016,10/28/2016,0.45,0.39,NaN,NaN,NaN,,,
2016,10/30/2016,0.48,0.45,NaN,NaN,NaN,,,
2016,10/27/2016,0.44,0.44,NaN,NaN,NaN,,,
2016,10/26/2016,0.49,0.48,NaN,NaN,NaN,,,
2016,10/26/2016,0.42,0.48,NaN,NaN,NaN,,,
2016,10/28/2016,0.48,0.47,NaN,NaN,NaN,,,
2016,10/26/2016,0.45,0.44,NaN,NaN,NaN,,,
2016,10/29/2016,0.46,0.43,NaN,NaN,NaN,,,
2016,10/27/2016,0.52,0.47,NaN,NaN,NaN,,,
2016,10/27/2016,0.48,0.47,NaN,NaN,NaN,,,
2016,10/26/2016,0.44,0.39,NaN,NaN,NaN,,,
2016,10/25/2016,0.45,0.43,NaN,NaN,NaN,,,
2016,10/24/2016,0.49,0.48,NaN,NaN,NaN,,,
2016,10/24/2016,0.51,0.44,NaN,NaN,NaN,,,
2016,10/26/2016,0.49,0.47,NaN,NaN,NaN,,,
2016,10/24/2016,0.45,0.41,NaN,NaN,NaN,,,
2016,10/23/2016,0.48,0.48,NaN,NaN,NaN,,,
2016,10/27/2016,0.46,0.41,NaN,NaN,NaN,,,
2016,10/25/2016,0.46,0.45,NaN,NaN,NaN,,,
2016,10/23/2016,0.46,0.41,NaN,NaN,NaN,,,
2016,10/24/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,10/22/2016,0.45,0.42,NaN,NaN,NaN,,,
2016,10/21/2016,0.42,0.36,NaN,NaN,NaN,,,
2016,10/21/2016,0.44,0.46,NaN,NaN,NaN,,,
2016,10/23/2016,0.5,0.45,NaN,NaN,NaN,,,
2016,10/22/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,10/21/2016,0.44,0.42,NaN,NaN,NaN,,,
2016,10/20/2016,0.49,0.47,NaN,NaN,NaN,,,
2016,10/22/2016,0.49,0.44,NaN,NaN,NaN,,,
2016,10/22/2016,0.51,0.44,NaN,NaN,NaN,,,
2016,10/20/2016,0.5,0.43,NaN,NaN,NaN,,,
2016,10/20/2016,0.43,0.41,NaN,NaN,NaN,,,
2016,10/19/2016,0.49,0.47,NaN,NaN,NaN,,,
2016,10/19/2016,0.44,0.45,NaN,NaN,NaN,,,
2016,10/21/2016,0.47,0.37,NaN,NaN,NaN,,,
2016,10/21/2016,0.51,0.43,NaN,NaN,NaN,,,
2016,10/21/2016,0.53,0.41,NaN,NaN,NaN,,,
2016,10/20/2016,0.54,0.41,NaN,NaN,NaN,,,
2016,10/20/2016,0.49,0.39,NaN,NaN,NaN,,,
2016,10/20/2016,0.43,0.37,NaN,NaN,NaN,,,
2016,10/19/2016,0.43,0.42,NaN,NaN,NaN,,,
2016,10/20/2016,0.53,0.41,NaN,NaN,NaN,,,
2016,10/20/2016,0.51,0.45,NaN,NaN,NaN,,,
2016,10/18/2016,0.42,0.42,NaN,NaN,NaN,,,
2016,10/17/2016,0.5,0.44,NaN,NaN,NaN,,,
2016,10/17/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,10/20/2016,0.53,0.41,NaN,NaN,NaN,,,
2016,10/17/2016,0.42,0.43,NaN,NaN,NaN,,,
2016,10/16/2016,0.42,0.42,NaN,NaN,NaN,,,
2016,10/19/2016,0.46,0.4,NaN,NaN,NaN,,,
2016,10/17/2016,0.49,0.42,NaN,NaN,NaN,,,
2016,10/15/2016,0.43,0.41,NaN,NaN,NaN,,,
2016,10/14/2016,0.44,0.45,NaN,NaN,NaN,,,
2016,10/14/2016,0.44,0.4,NaN,NaN,NaN,,,
2016,10/14/2016,0.43,0.41,NaN,NaN,NaN,,,
2016,10/17/2016,0.5,0.44,NaN,NaN,NaN,,,
2016,10/15/2016,0.47,0.43,NaN,NaN,NaN,,,
2016,10/13/2016,0.44,0.41,NaN,NaN,NaN,,,
2016,10/15/2016,0.49,0.42,NaN,NaN,NaN,,,
2016,10/14/2016,0.5,0.41,NaN,NaN,NaN,,,
2016,10/13/2016,0.43,0.39,NaN,NaN,NaN,,,
2016,10/12/2016,0.51,0.36,NaN,NaN,NaN,,,
2016,10/11/2016,0.51,0.46,NaN,NaN,NaN,,,
2016,10/14/2016,0.53,0.41,NaN,NaN,NaN,,,
2016,10/12/2016,0.51,0.4,NaN,NaN,NaN,,,
2016,10/10/2016,0.51,0.43,NaN,NaN,NaN,,,
2016,10/10/2016,0.5,0.46,NaN,NaN,NaN,,,
2016,10/13/2016,0.46,0.41,NaN,NaN,NaN,,,
2016,10/10/2016,0.51,0.41,NaN,NaN,NaN,,,
2016,10/10/2016,0.5,0.46,NaN,NaN,NaN,,,
2016,10/9/2016,0.46,0.41,NaN,NaN,NaN,,,
2016,10/8/2016,0.47,0.39,NaN,NaN,NaN,,,
2016,10/7/2016,0.5,0.45,NaN,NaN,NaN,,,
2016,10/10/2016,0.49,0.41,NaN,NaN,NaN,,,
2016,10/10/2016,0.46,0.41,NaN,NaN,NaN,,,
2016,10/8/2016,0.5,0.4,NaN,NaN,NaN,,,
2016,10/6/2016,0.44,0.37,NaN,NaN,NaN,,,
2016,10/4/2016,0.5,0.44,NaN,NaN,NaN,,,
2016,9/27/2016,0.53,0.44,NaN,NaN,NaN,,,
2016,10/8/2016,0.52,0.38,NaN,NaN,NaN,,,
2016,10/3/2016,0.51,0.44,NaN,NaN,NaN,,,
2016,10/3/2016,0.49,0.44,NaN,NaN,NaN,,,
2016,10/8/2016,0.45,0.41,NaN,NaN,NaN,,,
2016,10/7/2016,0.48,0.43,NaN,NaN,NaN,,,
2016,10/5/2016,0.44,0.42,NaN,NaN,NaN,,,
2016,10/5/2016,0.5,0.44,NaN,NaN,NaN,,,
2016,10/3/2016,0.48,0.44,NaN,NaN,NaN,,,
2016,9/30/2016,0.43,0.38,NaN,NaN,NaN,,,
2016,9/30/2016,0.48,0.47,NaN,NaN,NaN,,,
2016,9/28/2016,0.47,0.48,NaN,NaN,NaN,,,
2016,9/28/2016,0.43,0.47,NaN,NaN,NaN,,,
2016,10/1/2016,0.48,0.43,NaN,NaN,NaN,,,
2016,9/29/2016,0.44,0.37,NaN,NaN,NaN,,,
2016,9/30/2016,0.46,0.39,NaN,NaN,NaN,,,
2016,9/28/2016,0.5,0.4,NaN,NaN,NaN,,,
2016,9/28/2016,0.49,0.43,NaN,NaN,NaN,,,
2016,9/28/2016,0.47,0.42,NaN,NaN,NaN,,,
2016,9/26/2016,0.5,0.44,NaN,NaN,NaN,,,
2016,9/26/2016,0.47,0.49,NaN,NaN,NaN,,,
2016,9/24/2016,0.42,0.47,NaN,NaN,NaN,,,
2016,9/27/2016,0.49,0.44,NaN,NaN,NaN,,,
2016,9/23/2016,0.43,0.38,NaN,NaN,NaN,,,
2016,9/23/2016,0.47,0.49,NaN,NaN,NaN,,,
2016,9/27/2016,0.49,0.45,NaN,NaN,NaN,,,
2016,9/27/2016,0.42,0.38,NaN,NaN,NaN,,,
2016,9/26/2016,0.47,0.42,NaN,NaN,NaN,,,
2016,9/26/2016,0.45,0.41,NaN,NaN,NaN,,,
2016,9/21/2016,0.48,0.48,NaN,NaN,NaN,,,
2016,9/22/2016,0.44,0.38,NaN,NaN,NaN,,,
2016,9/22/2016,0.47,0.46,NaN,NaN,NaN,,,
2016,9/22/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,9/19/2016,0.51,0.44,NaN,NaN,NaN,,,
2016,9/19/2016,0.42,0.46,NaN,NaN,NaN,,,
2016,9/19/2016,0.48,0.47,NaN,NaN,NaN,,,
2016,9/22/2016,0.44,0.42,NaN,NaN,NaN,,,
2016,9/21/2016,0.46,0.46,NaN,NaN,NaN,,,
2016,9/19/2016,0.49,0.47,NaN,NaN,NaN,,,
2016,9/16/2016,0.41,0.37,NaN,NaN,NaN,,,
2016,9/15/2016,0.43,0.45,NaN,NaN,NaN,,,
2016,9/17/2016,0.47,0.44,NaN,NaN,NaN,,,
2016,9/15/2016,0.48,0.41,NaN,NaN,NaN,,,
2016,9/14/2016,0.42,0.46,NaN,NaN,NaN,,,
2016,9/18/2016,0.45,0.44,NaN,NaN,NaN,,,
2016,9/16/2016,0.48,0.41,NaN,NaN,NaN,,,
2016,9/15/2016,0.39,0.39,NaN,NaN,NaN,,,
2016,9/15/2016,0.5,0.44,NaN,NaN,NaN,,,
2016,9/13/2016,0.42,0.47,NaN,NaN,NaN,,,
